City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,bastad,56.4269,12.8534,8.17,97,100,10.8,SE,1706907822
278,oltinko'l,40.8011,72.1634,-0.2,48,52,2.83,UZ,1706907823
279,huarmey,-10.0681,-78.1522,26.37,73,100,4.41,PE,1706907824
280,novaya igirma,57.1334,103.9112,-31.49,100,88,0.76,RU,1706907824
281,kenora,49.8167,-94.4337,1.57,76,13,2.94,CA,1706907825
282,falkenberg,56.9055,12.4912,6.25,100,66,11.15,SE,1706907638
283,ceeldheer,3.8488,47.1806,25.56,81,96,7.02,SO,1706907827
284,nouadhibou,20.931,-17.0347,20.38,67,3,5.64,MR,1706907606
285,antalaha,-14.9003,50.2788,24.61,89,69,2.3,MG,1706907829
286,den burg,53.0542,4.7972,9.42,91,100,8.75,NL,1706907721
287,mejit,10.2753,170.8646,26.58,86,99,10.29,MH,1706907830
288,leticia,-4.2153,-69.9406,28.99,70,75,7.2,CO,1706907830
289,utrik,11.2278,169.8474,26.32,87,99,9.58,MH,1706907831
290,shakawe,-18.3667,21.85,21.92,69,71,1.77,BW,1706907832
291,alaghsas,17.0187,8.0168,17.39,17,66,7.92,NE,1706907832
292,tarawa,1.419,172.984,31.05,79,20,4.63,KI,1706907833
293,ataq,14.5377,46.8319,18.23,70,13,2.31,YE,1706907834
294,vilyuchinsk,52.9306,158.4028,-18.93,81,13,4.38,RU,1706907835
295,brazzaville,-4.2658,15.2832,25.06,81,83,0.71,CG,1706907835
296,saint-joseph,-21.3667,55.6167,24.21,81,39,6.91,RE,1706907857
297,kirakira,-10.4544,161.9205,28.57,79,96,4.09,SB,1706907858
298,sinop,41.7711,34.8709,4.18,72,100,9.11,TR,1706907628
299,nabire,-3.3667,135.4833,24.79,93,100,1.45,ID,1706907859
300,extrema,-22.8547,-46.3183,19.13,95,99,1.59,BR,1706907860
301,lorengau,-2.0226,147.2712,27.74,81,99,3.73,PG,1706907861
302,kijang,35.2442,129.2139,6.2,74,99,3.93,KR,1706907862
303,al kharijah,25.4514,30.5464,10.03,45,0,2.91,EG,1706907686
304,saint augustine beach,29.8505,-81.2654,22.25,32,0,4.63,US,1706907863
305,shiyan,32.6475,110.7781,-3.07,93,100,1.36,CN,1706907864
306,burao,9.5221,45.5336,19.95,80,56,5.39,SO,1706907865
307,yanam,16.7333,82.2167,21.17,92,100,0.68,IN,1706907866
308,choibalsan,48.0667,114.5,-26.47,88,3,3.48,MN,1706907652
309,minas de marcona,-15.2119,-75.1103,22.41,66,82,6.01,PE,1706907867
310,masuguru,-11.3667,38.4167,23.17,97,100,1.29,TZ,1706907681
311,toamasina,-18.1667,49.3833,26.0,89,75,5.14,MG,1706907869
312,saposoa,-6.934,-76.7716,32.71,50,100,1.82,PE,1706907869
313,praia da vitoria,38.7333,-27.0667,17.09,93,61,4.65,PT,1706907871
314,amfissa,38.525,22.3731,8.62,68,99,2.72,GR,1706907871
315,gelemso,8.8167,40.5167,16.81,86,57,2.54,ET,1706907872
316,college,64.8569,-147.8028,-33.94,68,75,0.0,US,1706907873
317,udachny,66.4167,112.4,-30.97,77,80,1.48,RU,1706907874
318,bonthe,7.5264,-12.505,26.64,83,34,4.25,SL,1706907875
319,east london,-33.0153,27.9116,24.33,84,100,8.56,ZA,1706907772
320,zaysan,47.4667,84.8667,-9.71,88,100,0.75,KZ,1706907876
321,dadukou,26.5479,101.7054,7.77,79,1,0.8,CN,1706907877
322,stephenville,32.2207,-98.2023,18.44,88,100,4.12,US,1706907878
323,ixtapa,20.7,-105.2,26.79,69,0,5.66,MX,1706907878
324,usol'ye,59.4268,56.6808,-10.63,89,97,4.75,RU,1706907879
325,inda silase,14.1031,38.2829,15.95,49,52,0.35,ET,1706907880
326,kailua-kona,19.6406,-155.9956,24.98,99,75,10.29,US,1706907881
327,lashkar gah,31.5938,64.3716,9.95,76,1,4.66,AF,1706907881
328,smidovich,48.6,133.8167,-28.1,96,6,3.39,RU,1706907882
329,hermanus,-34.4187,19.2345,24.89,82,0,3.34,ZA,1706907883
330,fort st. john,56.2499,-120.8529,-3.06,93,20,2.57,CA,1706907883
331,kainan,34.15,135.2,6.02,73,8,5.44,JP,1706907884
332,zhigalovo,54.8097,105.1578,-30.44,100,88,0.77,RU,1706907885
333,puro,12.4841,123.3827,24.4,88,17,3.35,PH,1706907720
334,bodo,67.28,14.405,2.1,86,75,7.72,NO,1706907888
335,kikwit,-5.041,18.8162,22.6,94,100,1.37,CD,1706907549
336,ca mau,9.1769,105.15,22.58,94,3,1.63,VN,1706907741
337,uvira,-3.4067,29.1458,22.88,86,100,0.87,CD,1706907539
338,najran,17.4924,44.1277,17.36,45,32,2.02,SA,1706907891
339,forster,-32.1667,152.5167,22.94,71,81,3.2,AU,1706907891
340,sangueya,10.7,-14.3667,24.0,72,0,1.61,GN,1706907892
341,ilomantsi,62.6716,30.9328,-14.61,100,94,1.89,FI,1706907893
342,lycksele,64.5954,18.6735,-3.07,93,20,3.6,SE,1706907681
343,mwinilunga,-11.7358,24.4293,16.94,97,100,1.44,ZM,1706907894
344,blackfoot,43.1905,-112.345,4.47,99,100,3.11,US,1706907895
345,goz beida,13.95,20.55,21.1,17,87,4.75,TD,1706907896
346,laguna,38.421,-121.4238,14.61,67,0,6.17,US,1706907896
347,saldanha,-33.0117,17.9442,18.35,97,47,2.4,ZA,1706907897
348,brisas de zicatela,15.8369,-97.0419,29.29,61,40,4.12,MX,1706907898
349,san juan de miraflores,-12.1629,-76.9635,25.29,77,100,5.17,PE,1706907898
350,thames,-37.1333,175.5333,18.06,79,71,5.9,NZ,1706907899
351,okeechobee,27.2439,-80.8298,24.42,52,75,2.06,US,1706907900
352,igarka,67.4667,86.5833,-13.16,95,100,7.97,RU,1706907828
353,mettupalayam,11.3,76.95,25.49,89,96,0.89,IN,1706907901
354,brokopondo,4.75,-55.1667,29.33,52,91,0.61,SR,1706907902
355,roma,43.2128,-75.4557,3.1,76,100,3.6,US,1706907317
356,vila franca do campo,37.7167,-25.4333,18.27,99,15,4.12,PT,1706907801
357,mao,39.8885,4.2658,9.31,93,0,3.09,ES,1706907904
358,kavaratti,10.5669,72.642,26.62,69,100,3.8,IN,1706907905
359,annau,37.8876,58.516,2.56,97,100,5.42,TM,1706907905
360,kibre mengist,5.8833,38.9833,14.96,56,76,0.89,ET,1706907906
361,qa'en,33.7265,59.1844,0.71,73,11,6.04,IR,1706907907
